codigo;nombre;ubicacion;;
291;3371;ARMARIO 4, PUERTA 2,  LADO E, SUPERIOR IZQUIERDO;;
292;VW771 / 51;ARMARIO 4, PUERTA 2,  LADO E, SUPERIOR CENTRO;;
293;2007;ARMARIO 4, PUERTA 2,  LADO E, SUPERIOR CENTRO;;
294;VAG1561;ARMARIO 4, PUERTA 2,  LADO E, SUPERIOR DERECHO;;
295;T10394;ARMARIO 4, PUERTA 2,  LADO E, SUPERIOR DERECHO;;
296;VAG1332 / 6;ARMARIO 4, PUERTA 2,  LADO E, SUPERIOR DERECHO;;
297;VW653 / 3;ARMARIO 4, PUERTA 2,  LADO E, SUPERIOR DERECHO;;
298;VW402;ARMARIO 4, PUERTA 2,  LADO E, CENTRO IZQUIERDO;;
299;VW558;ARMARIO 4, PUERTA 2,  LADO E, CENTRO CENTRO;;
300;VW353;ARMARIO 4, PUERTA 2,  LADO E, CENTRO IZQUIERDO;;
301;VW637 / 2;ARMARIO 4, PUERTA 2,  LADO E, CENTRO DERECHO;;
302;VW5340;ARMARIO 4, PUERTA 2,  LADO E, CENTRO DERECHO;;
303;30211A;ARMARIO 4, PUERTA 2,  LADO E, CENTRO IZQUIERDO;;
304;T10508;ARMARIO 4, PUERTA 2,  LADO E, CENTRO CENTRO;;
305;VAG1561 / 10;ARMARIO 4, PUERTA 2,  LADO E, CENTRO CENTRO;;
306;T40218;ARMARIO 4, PUERTA 2, LADO E, CENTRO CENTRO;;
307;VW2024 A;ARMARIO 4, PUERTA 2,  LADO E, CENTRO DERECHO;;
308;T10487;ARMARIO 4, PUERTA 2,  LADO E, CENTRO CENTRO;;
309;VAS6418 / 2;ARMARIO 4, PUERTA 2,  LADO E, INFERIOR IZQUIERDO;;
310;VW222 A;ARMARIO 4, PUERTA 2,  LADO E, INFERIOR IZQUIERDO;;
311;VW771 / 1;ARMARIO 4, PUERTA 2,  LADO E, INFERIOR IZQUIERDO;;
312;10-222 A / 4;ARMARIO 4, PUERTA 2,  LADO E, INFERIOR IZQUIERDO;;
313;3283;ARMARIO 4, PUERTA 2,  LADO E, INFERIOR IZQUIERDO;;
314;3415;ARMARIO 4, PUERTA 2,  LADO E, INFERIOR DERECHO;;
315;T10244;ARMARIO 4, PUERTA 2,  LADO E, INFERIOR IZQUIERDO;;
316;T10065 / 1;ARMARIO 4, PUERTA 2,  LADO E, INFERIOR DERECHO;;
317;T10262;ARMARIO 4, PUERTA 2,  LADO E, INFERIOR DERECHO;;
318;T10149;ARMARIO 4, PUERTA 2,  LADO E, INFERIOR DERECHO;;
319;3140;ARMARIO 4, PUERTA 2,  LADO F, SUPERIOR IZQUIERDO;;
